method,n_features,f1,pr_auc
Univariate - mutual info (k=15),15,0.7967479674796748,0.8188269868324638
Univariate - F-test (k=15),15,0.7967479674796748,0.8130999135673096
All features (baseline),30,0.8222222222222222,0.8075270785220847
Multivariate - RFE (k=15),15,0.8222222222222222,0.8001931428584191
LDA (1 component),1,0.7935222672064778,0.7965391696951938
Embedded - tree importance (k=15),15,0.8222222222222222,0.7940612384365264
"PCA (27 components, 95% var)",27,0.7967479674796748,0.7183690297292564
